,id,type,gender,sexo,pessoa,idade
41398,49309.0,F,F,1,0,26
41399,49310.0,F,M,2,0,32
41400,49311.0,F,F,1,0,22
41401,49312.0,F,F,1,0,24
41402,49313.0,F,M,2,0,32
41403,49314.0,F,F,1,0,23
41404,49315.0,F,M,2,0,21
41405,49316.0,F,M,2,0,15
41406,49317.0,F,F,1,0,33
41407,49318.0,F,F,1,0,15
41409,49320.0,F,M,2,0,38
41410,49321.0,F,M,2,0,43
41412,49323.0,F,M,2,0,15
41413,49324.0,F,F,1,0,33
41416,49327.0,F,F,1,0,34
41420,49331.0,F,M,2,0,40
41422,49333.0,F,M,2,0,39
41425,49336.0,F,F,1,0,34
41426,49337.0,F,F,1,0,27
41428,49339.0,F,F,1,0,46
41429,49340.0,F,F,1,0,39
